ID,UNNAMED: 1,LONGITUDE,LATITUDE,NAME
01KRB0014,,98.0588,4.2898,KOTA_LINTANG_ST
01KRB0015,,98.0614,4.2944,KUALA_SIMPANG1_MT
01KRB0016,,98.0619,4.2853,PASAR_KOTA_KUALA_SIMPANG_TB
01KRB0017,,98.062,4.3206,JOHAR_TB
01KRB0019,,98.0692,4.2925,LANDUH_TB
01KRB0020,,98.0698,4.2744,SALAHHAJI_PAYA_BEDI_PL
01KRB0022,,98.073,4.3384,KARANG_BARU_KRB_CM
01KRB0024,,98.0777,4.2888,RANTAU_KRB_ST
01KRB0025,,98.083,4.395,LNTSMEDAN_KUALASIMPANG_PL
01KRB0026,,98.0833,4.3043,KAMPUNG_DURIAN_MT
01KRB0027,,98.0904,4.3612,TANJUNG_SEUMANTOH_CM
01KRB0028,,98.0927,4.3236,RANTAU_KUALA_SIMPANG_PL
01KRB0030,,98.0983,4.3365,ALUR_CUCUR_TB
01KRB0031,,98.1012,4.3246,PERTAMINA_RANTAU_PL
01KRB0037,,98.067,4.2053,KAMPUNG_JAWA_MT
01KRB0038,,98.0715,4.4204,GELANGGANG_MERAK_TB
01KRB0039,,98.0743,4.3977,IETAH_MT
01KRB0040,,98.0932,4.4452,MANYAKPAYED_MESJID_MT
01KRB0041,,98.11,4.3922,PAYA_RAHAT_MT
01KRB0042,,98.1298,4.3173,SUKARAMAI_II_PL
01KRB0043,,98.1362,4.4399,MATANG_SEUPING_ST
01KRB0044,,98.1678,4.4058,MESJID_SUNGAI_IYU_ST
01KRB0045,,98.1833,4.3526,PEUKAN_SEURUWAY_ST
01KRB0046,,98.0261,4.4077,PAYA_KETENGGAR_ST
01KRB0047,,98.2138,4.3514,SUNGA_KURUK_II_MT
01KRB0048,,98.0504,4.1818,SEUMADAM_CM
01KRB0051,,98.088,4.38,PAYA_AWE_MT
01KRB0052,,98.0561,4.4337,RAJATUHA_PAYED_MT
01KRB0053,,97.8825,4.2943,TITIBABO_TAMIANG_MT
01KRB0054,,97.8915,4.2695,BABO_RAVAN_TB
01KRB0055,,98.1575,4.3621,SEURUWAY_ARYSA_TB
